pays,annee,pourcentage_victoire,but_mis,but_enc
Uruguay,1937,33.33,1.6,2.7
Uruguay,1938,22.22,1.6,2.9
Uruguay,1939,50.0,2.5,1.5
Uruguay,1940,66.67,2.7,1.8
Uruguay,1941,66.67,2.3,1.3
Uruguay,1942,75.0,2.8,0.7
Uruguay,1943,60.0,2.6,1.1
Uruguay,1944,0.0,1.0,3.5
Uruguay,1945,30.0,1.9,2.4
Uruguay,1946,42.86,2.4,1.9
Uruguay,1947,53.33,2.5,1.5
Uruguay,1948,54.55,2.5,1.3
Uruguay,1949,33.33,2.1,2.6
Uruguay,1950,33.33,2.3,2.7
Uruguay,1951,40.0,2.8,2.4
Uruguay,1952,60.0,3.2,2.0
Uruguay,1953,58.33,2.8,1.4
Uruguay,1954,45.45,2.6,1.5
Uruguay,1955,33.33,2.7,2.3
Uruguay,1956,43.75,1.8,1.6
Uruguay,1957,47.83,1.6,1.4
Uruguay,1958,50.0,1.5,1.5
Uruguay,1959,46.15,2.3,1.5
Uruguay,1960,50.0,2.3,1.7
Uruguay,1961,50.0,1.6,1.6
Uruguay,1962,25.0,1.2,2.1
Uruguay,1963,22.22,1.1,2.2
Uruguay,1964,33.33,1.0,1.3
Uruguay,1965,40.0,1.4,1.3
Uruguay,1966,41.18,1.5,1.3
Uruguay,1967,47.06,1.6,0.9
Uruguay,1968,36.84,1.4,1.2
Uruguay,1969,33.33,0.9,1.3
Uruguay,1970,60.0,1.2,0.6
Uruguay,1971,33.33,1.1,1.6
Uruguay,1972,15.38,0.5,1.3
Uruguay,1973,26.67,0.8,0.7
Uruguay,1974,50.0,1.4,0.6
Uruguay,1975,61.54,1.4,0.9
Uruguay,1976,27.78,0.9,1.4
Uruguay,1977,19.05,1.0,1.2
Uruguay,1978,30.77,1.1,0.9
Uruguay,1979,27.27,0.9,1.5
Uruguay,1980,38.1,1.5,1.0
Uruguay,1981,47.62,1.6,0.7
Uruguay,1982,50.0,1.5,0.8
Uruguay,1983,42.11,1.4,0.8
Uruguay,1984,45.45,1.3,0.7
Uruguay,1985,60.87,1.6,0.9
Uruguay,1986,50.0,1.5,1.0
Uruguay,1987,50.0,1.3,0.8
Uruguay,1988,66.67,1.6,0.9
Uruguay,1989,50.0,1.5,0.7
Uruguay,1990,48.0,1.5,0.7
Uruguay,1991,31.58,1.2,1.0
Uruguay,1992,40.0,1.1,1.0
Uruguay,1993,52.17,1.3,1.1
Uruguay,1994,50.0,1.3,1.1
Uruguay,1995,38.89,1.6,1.1
Uruguay,1996,36.0,1.5,1.2
Uruguay,1997,38.46,1.2,1.3
Uruguay,1998,35.0,1.2,1.5
Uruguay,1999,30.77,1.3,1.8
Uruguay,2000,38.1,1.2,1.1
Uruguay,2001,40.74,1.1,0.8
Uruguay,2002,41.67,1.2,1.0
Uruguay,2003,47.62,2.0,1.5
Uruguay,2004,42.86,1.8,1.8
Uruguay,2005,30.77,1.1,1.6
Uruguay,2006,36.36,1.1,1.0
Uruguay,2007,45.83,1.5,1.0
Uruguay,2008,40.0,1.8,1.1
Uruguay,2009,39.13,1.5,1.1
Uruguay,2010,55.56,1.9,1.1
Uruguay,2011,63.64,2.3,0.9
Uruguay,2012,42.31,1.6,1.3
Uruguay,2013,40.74,1.7,1.4
Uruguay,2014,56.0,1.9,1.0
Uruguay,2015,61.11,1.7,0.7
Uruguay,2016,52.38,1.7,0.9
Uruguay,2017,33.33,1.4,1.4
Uruguay,2018,33.33,1.3,1.4
Uruguay,2019,52.63,1.7,0.9
Uruguay,2020,53.33,1.7,1.0
Uruguay,2021,31.58,0.9,1.2
Uruguay,2022,45.45,1.2,0.8
Sweden,1930,56.25,3.2,2.1
Sweden,1931,50.0,2.9,2.0
Sweden,1932,47.37,2.9,1.7
Sweden,1933,52.63,2.7,1.7
Sweden,1934,66.67,3.2,1.8
Sweden,1935,64.29,3.0,1.9
Sweden,1936,64.29,2.7,1.7
Sweden,1937,38.46,2.5,2.5
Sweden,1938,33.33,2.1,2.5
Sweden,1939,61.54,2.8,1.8
Sweden,1940,70.0,3.4,1.3
Sweden,1941,42.86,2.7,1.7
Sweden,1942,57.14,2.3,1.7
Sweden,1943,55.56,2.4,1.7
Sweden,1944,40.0,2.6,1.8
Sweden,1945,85.71,4.7,1.6
Sweden,1946,75.0,4.5,1.6
Sweden,1947,75.0,4.5,1.7
Sweden,1948,71.43,3.4,1.6
Sweden,1949,53.33,2.6,1.8
Sweden,1950,57.14,2.8,1.8
Sweden,1951,40.0,2.0,1.7
Sweden,1952,44.44,2.1,1.6
Sweden,1953,50.0,2.2,1.4
Sweden,1954,55.0,2.8,1.6
Sweden,1955,55.56,3.2,2.3
Sweden,1956,33.33,2.1,2.2
Sweden,1957,42.86,1.9,1.0
Sweden,1958,58.33,2.8,1.2
Sweden,1959,72.73,3.6,1.6
Sweden,1960,76.92,2.8,1.2
Sweden,1961,71.43,2.2,0.9
Sweden,1962,66.67,2.1,0.9
Sweden,1963,61.11,1.7,0.8
Sweden,1964,37.5,1.4,1.1
Sweden,1965,23.53,1.6,1.4
Sweden,1966,33.33,1.8,1.5
Sweden,1967,35.29,1.6,1.6
Sweden,1968,35.29,1.7,1.4
Sweden,1969,65.0,2.2,1.0
Sweden,1970,72.22,1.8,0.8
Sweden,1971,60.0,1.3,0.7
Sweden,1972,50.0,1.9,1.0
Sweden,1973,52.63,1.8,1.2
Sweden,1974,50.0,1.2,1.4
Sweden,1975,40.0,1.2,1.5
Sweden,1976,50.0,1.8,0.9
Sweden,1977,45.0,1.4,1.2
Sweden,1978,41.18,1.1,1.4
Sweden,1979,36.84,1.5,1.3
Sweden,1980,27.27,1.2,1.5
Sweden,1981,42.86,1.2,1.3
Sweden,1982,40.0,1.4,1.2
Sweden,1983,47.62,2.0,0.9
Sweden,1984,55.0,2.0,0.6
Sweden,1985,43.75,1.3,0.8
Sweden,1986,56.25,1.6,0.6
Sweden,1987,47.06,1.2,0.5
Sweden,1988,52.63,1.4,0.7
Sweden,1989,63.16,1.7,1.1
Sweden,1990,57.89,1.8,1.2
Sweden,1991,47.37,2.2,1.4
Sweden,1992,52.17,2.0,1.2
Sweden,1993,52.17,1.7,0.9
Sweden,1994,52.38,1.8,1.0
Sweden,1995,39.13,1.6,1.2
Sweden,1996,36.36,1.4,1.0
Sweden,1997,62.5,1.4,0.7
Sweden,1998,63.64,1.1,0.7
Sweden,1999,60.0,0.9,0.5
Sweden,2000,39.13,0.8,0.7
Sweden,2001,48.28,1.6,0.6
Sweden,2002,44.44,1.8,0.8
Sweden,2003,33.33,1.8,1.1
Sweden,2004,53.33,2.3,1.0
Sweden,2005,50.0,2.2,1.0
Sweden,2006,43.48,1.5,0.9
Sweden,2007,40.0,1.2,1.0
Sweden,2008,35.71,1.1,1.1
Sweden,2009,40.74,1.0,0.9
Sweden,2010,60.87,1.6,0.7
Sweden,2011,69.57,2.1,0.8
Sweden,2012,69.23,2.2,1.2
Sweden,2013,57.14,1.9,1.4
Sweden,2014,42.31,1.4,1.1
Sweden,2015,47.83,1.3,0.9
Sweden,2016,44.0,1.4,0.8
Sweden,2017,41.67,1.8,0.9
Sweden,2018,39.13,1.5,0.9
Sweden,2019,37.5,1.4,0.9
Sweden,2020,45.45,1.5,1.3
Sweden,2021,57.69,1.3,1.1
Sweden,2022,59.09,1.4,0.9
Belgium,1930,38.46,2.2,2.2
Belgium,1931,40.0,2.3,2.1
Belgium,1932,41.67,2.2,2.8
Belgium,1933,26.67,1.7,3.1
Belgium,1934,15.38,1.8,3.6
Belgium,1935,10.0,2.2,3.6
Belgium,1936,16.67,1.3,2.8
Belgium,1937,23.08,1.0,2.0
Belgium,1938,28.57,1.6,2.3
Belgium,1939,23.08,2.2,3.2
Belgium,1940,25.0,2.8,3.0
Belgium,1941,50.0,4.5,2.5
Belgium,1944,0.0,1.0,3.0
Belgium,1945,33.33,1.3,2.7
Belgium,1946,28.57,2.4,2.4
Belgium,1947,18.18,2.0,2.7
Belgium,1948,16.67,1.6,2.4
Belgium,1949,38.46,1.9,1.6
Belgium,1950,57.14,2.6,1.7
Belgium,1951,38.46,3.0,3.2
Belgium,1952,38.46,2.0,3.1
Belgium,1953,50.0,1.7,1.7
Belgium,1954,50.0,2.1,1.4
Belgium,1955,35.71,1.7,1.6
Belgium,1956,15.38,1.5,2.7
Belgium,1957,28.57,2.1,2.7
Belgium,1958,28.57,1.9,2.4
Belgium,1959,9.09,1.4,3.2
Belgium,1960,28.57,1.4,2.6
Belgium,1961,41.18,1.6,1.8
Belgium,1962,40.0,1.7,1.5
Belgium,1963,53.85,1.7,1.2
Belgium,1964,50.0,1.5,0.9
Belgium,1965,42.86,1.5,1.1
Belgium,1966,50.0,1.6,1.3
Belgium,1967,50.0,1.8,1.3
Belgium,1968,57.14,2.1,1.1
Belgium,1969,58.33,1.8,1.2
Belgium,1970,42.86,1.1,1.6
Belgium,1971,60.0,1.8,0.8
Belgium,1972,66.67,1.9,0.5
Belgium,1973,63.64,1.8,0.4
Belgium,1974,60.0,1.3,0.4
Belgium,1975,54.55,1.0,0.5
Belgium,1976,50.0,0.9,1.1
Belgium,1977,30.0,0.9,1.6
Belgium,1978,18.18,0.7,1.1
Belgium,1979,41.67,1.1,0.6
Belgium,1980,61.11,1.6,0.6
Belgium,1981,58.82,1.6,1.0
Belgium,1982,58.33,1.7,1.2
Belgium,1983,50.0,1.7,1.1
Belgium,1984,31.25,1.1,1.5
Belgium,1985,40.0,1.1,1.2
Belgium,1986,45.45,1.6,1.0
Belgium,1987,30.77,1.5,1.2
Belgium,1988,38.46,1.2,1.0
Belgium,1989,60.0,1.9,0.8
Belgium,1990,43.75,1.7,0.9
Belgium,1991,28.57,1.1,0.9
Belgium,1992,57.14,1.5,0.6
Belgium,1993,61.54,1.7,0.8
Belgium,1994,41.67,1.4,1.2
Belgium,1995,42.86,1.6,1.2
Belgium,1996,42.86,1.5,1.1
Belgium,1997,50.0,1.8,1.4
Belgium,1998,50.0,1.6,1.0
Belgium,1999,31.82,1.3,1.0
Belgium,2000,33.33,1.5,1.2
Belgium,2001,50.0,2.0,1.1
Belgium,2002,57.89,1.7,0.8
Belgium,2003,58.82,1.4,0.9
Belgium,2004,37.5,1.4,1.6
Belgium,2005,29.41,1.4,1.5
Belgium,2006,44.44,1.6,0.9
Belgium,2007,36.84,1.2,1.2
Belgium,2008,27.78,1.1,1.7
Belgium,2009,30.0,1.2,1.9
Belgium,2010,35.0,1.4,1.7
Belgium,2011,42.11,1.5,1.1
Belgium,2012,45.0,1.6,0.9
Belgium,2013,55.0,1.7,1.0
Belgium,2014,65.0,2.0,0.8
Belgium,2015,77.78,2.6,0.7
Belgium,2016,70.83,2.6,1.0
Belgium,2017,64.0,2.8,1.1
Belgium,2018,70.0,2.8,1.0
Belgium,2019,85.0,3.2,0.6
Belgium,2020,88.89,3.3,0.6
Belgium,2021,68.0,2.3,0.9
Belgium,2022,60.87,2.3,1.0
Russia,1952,50.0,1.5,1.0
Russia,1953,50.0,1.5,1.0
Russia,1954,50.0,4.0,0.5
Russia,1955,57.14,4.4,1.0
Russia,1956,69.23,3.6,1.2
Russia,1957,75.0,3.1,0.9
Russia,1958,66.67,2.6,1.1
Russia,1959,71.43,1.6,1.3
Russia,1960,87.5,2.4,0.8
Russia,1961,73.33,2.0,0.8
Russia,1962,78.57,2.0,0.6
Russia,1963,55.56,1.9,0.7
Russia,1964,28.57,1.2,0.9
Russia,1965,42.86,1.8,1.0
Russia,1966,52.17,1.8,1.1
Russia,1967,61.54,2.0,1.2
Russia,1968,52.0,1.8,1.0
Russia,1969,44.44,1.4,0.8
Russia,1970,56.25,1.9,0.6
Russia,1971,52.63,1.7,0.4
Russia,1972,46.15,1.3,0.8
Russia,1973,36.0,0.9,0.9
Russia,1974,30.77,0.5,0.8
Russia,1975,60.0,1.4,0.9
Russia,1976,38.89,1.4,1.1
Russia,1977,33.33,1.4,1.0
Russia,1978,63.64,2.1,0.8
Russia,1979,66.67,2.1,0.9
Russia,1980,70.83,2.2,0.9
Russia,1981,80.0,2.5,0.5
Russia,1982,63.64,1.8,0.3
Russia,1983,57.14,1.6,0.6
Russia,1984,53.33,1.7,0.7
Russia,1985,70.0,1.8,0.8
Russia,1986,56.52,1.5,0.8
Russia,1987,36.84,1.1,0.7
Russia,1988,53.57,1.4,0.8
Russia,1989,51.85,1.4,0.9
Russia,1990,47.62,1.3,0.8
Russia,1991,51.85,1.6,0.8
Russia,1992,44.83,1.5,1.0
Russia,1993,40.74,1.4,1.1
Russia,1994,47.83,1.7,0.9
Russia,1995,65.0,2.4,0.6
Russia,1996,68.0,2.6,0.8
Russia,1997,50.0,1.8,0.9
Russia,1998,27.27,1.1,1.3
Russia,1999,45.0,1.6,1.2
Russia,2000,75.0,1.9,0.7
Russia,2001,61.11,1.7,0.8
Russia,2002,42.11,1.7,1.0
Russia,2003,33.33,1.4,1.2
Russia,2004,38.1,1.6,1.5
Russia,2005,38.1,1.7,1.3
Russia,2006,41.18,1.2,0.6
Russia,2007,47.06,1.3,0.8
Russia,2008,56.52,1.8,1.3
Russia,2009,60.87,1.9,1.1
Russia,2010,58.82,1.5,0.8
Russia,2011,50.0,1.2,0.6
Russia,2012,50.0,1.5,0.5
Russia,2013,52.17,1.7,0.7
Russia,2014,55.0,1.8,0.6
Russia,2015,63.16,1.9,0.6
Russia,2016,42.86,1.6,1.2
Russia,2017,26.09,1.4,1.5
Russia,2018,28.57,1.4,1.5
Russia,2019,55.0,2.2,1.2
Russia,2020,55.56,2.4,1.2
Russia,2021,47.83,1.4,1.2
Russia,2022,60.0,1.5,0.9
Serbia,1950,0.0,1.0,4.0
Serbia,1951,0.0,1.0,4.0
Serbia,1994,0.0,0.0,1.5
Serbia,1995,62.5,1.6,0.9
Serbia,1996,73.33,2.3,0.7
Serbia,1997,59.09,2.3,0.6
Serbia,1998,50.0,1.8,0.7
Serbia,1999,50.0,1.8,0.9
Serbia,2000,50.0,1.8,1.3
Serbia,2001,48.28,1.7,1.1
Serbia,2002,44.44,1.6,1.1
Serbia,2003,28.57,1.2,1.7
Serbia,2004,31.58,1.4,1.2
Serbia,2005,38.1,1.2,0.6
Serbia,2006,42.86,1.1,0.8
Serbia,2007,42.11,1.5,0.9
Serbia,2008,33.33,1.7,1.1
Serbia,2009,56.52,1.8,0.9
Serbia,2010,60.87,1.7,0.8
Serbia,2011,39.13,1.2,1.0
Serbia,2012,30.43,1.0,1.0
Serbia,2013,38.1,1.4,1.0
Serbia,2014,44.44,1.5,1.1
Serbia,2015,37.5,1.3,1.5
Serbia,2016,42.11,1.5,1.4
Serbia,2017,50.0,1.4,1.0
Serbia,2018,57.89,1.7,0.7
Serbia,2019,55.0,1.9,1.3
Serbia,2020,38.89,1.7,1.5
Serbia,2021,45.45,1.8,0.9
Serbia,2022,55.0,1.8,0.9
Mexico,1934,75.0,3.5,1.8
Mexico,1935,75.0,3.5,1.8
Mexico,1937,40.0,3.2,3.0
Mexico,1938,44.44,3.3,3.2
Mexico,1939,50.0,3.5,3.5
Mexico,1947,100.0,4.0,0.5
Mexico,1948,100.0,4.0,0.5
Mexico,1949,100.0,4.2,0.5
Mexico,1950,100.0,4.2,0.5
Mexico,1952,20.0,1.0,2.8
Mexico,1953,42.86,2.4,2.0
Mexico,1954,100.0,4.8,0.2
Mexico,1955,100.0,3.5,0.5
Mexico,1956,0.0,0.5,1.2
Mexico,1957,50.0,2.3,0.8
Mexico,1958,83.33,3.5,0.5
Mexico,1959,100.0,2.3,1.0
Mexico,1960,50.0,2.1,1.6
Mexico,1961,35.29,1.8,1.6
Mexico,1962,46.67,1.5,1.2
Mexico,1963,50.0,1.9,0.8
Mexico,1964,33.33,3.0,0.7
Mexico,1965,76.92,2.5,0.5
Mexico,1966,68.42,2.3,0.8
Mexico,1967,57.89,1.6,1.1
Mexico,1968,48.28,1.5,1.0
Mexico,1969,36.59,1.3,1.0
Mexico,1970,36.11,1.2,1.0
Mexico,1971,40.74,1.1,1.0
Mexico,1972,57.69,1.3,0.9
Mexico,1973,60.0,1.8,1.0
Mexico,1974,46.15,1.6,0.9
Mexico,1975,50.0,1.8,0.8
Mexico,1976,33.33,1.3,0.8
Mexico,1977,52.94,2.2,0.9
Mexico,1978,64.71,2.8,1.0
Mexico,1979,62.5,2.1,0.8
Mexico,1980,44.44,1.7,1.1
Mexico,1981,36.36,1.7,1.0
Mexico,1982,28.57,1.6,0.6
Mexico,1983,85.71,2.9,0.6
Mexico,1984,56.52,1.7,0.9
Mexico,1985,47.22,1.3,0.9
Mexico,1986,50.0,1.3,0.8
Mexico,1987,66.67,1.9,1.0
Mexico,1988,100.0,3.8,0.7
Mexico,1989,100.0,3.4,0.7
Mexico,1990,70.0,1.8,1.0
Mexico,1991,42.86,1.3,0.8
Mexico,1992,37.93,1.3,1.0
Mexico,1993,48.89,2.0,0.9
Mexico,1994,51.28,2.2,0.9
Mexico,1995,32.0,1.3,1.5
Mexico,1996,40.0,1.5,1.3
Mexico,1997,42.86,1.8,1.2
Mexico,1998,44.74,1.8,1.1
Mexico,1999,50.0,1.7,1.1
Mexico,2000,51.11,1.7,1.0
Mexico,2001,47.92,1.6,1.2
Mexico,2002,48.57,1.4,1.2
Mexico,2003,47.83,1.2,0.6
Mexico,2004,54.84,2.1,0.7
Mexico,2005,59.52,2.3,0.9
Mexico,2006,52.94,1.6,1.0
Mexico,2007,58.06,1.5,1.1
Mexico,2008,56.76,1.8,1.1
Mexico,2009,57.14,2.0,0.9
Mexico,2010,56.76,1.9,0.8
Mexico,2011,56.76,1.8,0.8
Mexico,2012,66.67,1.9,0.8
Mexico,2013,52.94,1.5,0.9
Mexico,2014,41.94,1.4,1.0
Mexico,2015,46.15,1.8,1.1
Mexico,2016,53.33,1.7,1.1
Mexico,2017,62.16,1.6,1.0
Mexico,2018,50.0,1.3,1.1
Mexico,2019,65.52,1.9,1.1
Mexico,2020,85.71,2.6,1.0
Mexico,2021,53.57,1.6,0.8
Mexico,2022,50.0,1.3,0.7
Poland,1930,100.0,4.5,0.0
Poland,1931,50.0,3.0,2.0
Poland,1932,62.5,2.6,1.6
Poland,1933,66.67,2.1,1.0
Poland,1934,27.27,2.1,2.7
Poland,1935,16.67,2.1,3.2
Poland,1936,18.18,1.7,2.8
Poland,1937,45.45,2.5,2.3
Poland,1938,35.71,2.6,2.1
Poland,1939,16.67,2.2,2.4
Poland,1940,25.0,2.0,2.5
Poland,1947,14.29,2.0,3.4
Poland,1948,21.43,1.5,2.9
Poland,1949,30.77,1.2,2.6
Poland,1950,27.27,1.5,2.6
Poland,1951,16.67,1.2,3.0
Poland,1952,16.67,1.0,2.5
Poland,1953,20.0,1.5,1.9
Poland,1954,28.57,1.7,1.7
Poland,1955,40.0,1.8,1.2
Poland,1956,30.0,1.9,1.6
Poland,1957,35.71,1.6,1.5
Poland,1958,23.08,1.5,1.7
Poland,1959,8.33,1.8,2.2
Poland,1960,27.27,2.2,2.6
Poland,1961,45.45,2.0,1.9
Poland,1962,40.0,1.5,1.3
Poland,1963,40.0,2.1,1.3
Poland,1964,54.55,3.0,1.5
Poland,1965,38.46,1.9,1.6
Poland,1966,15.0,1.3,1.5
Poland,1967,17.65,1.3,1.5
Poland,1968,38.46,2.2,1.4
Poland,1969,52.94,2.9,1.3
Poland,1970,63.16,2.5,1.2
Poland,1971,50.0,1.9,1.2
Poland,1972,44.44,1.8,1.0
Poland,1973,63.16,1.7,0.6
Poland,1974,57.69,1.7,0.8
Poland,1975,60.0,2.5,1.0
Poland,1976,52.94,2.5,1.1
Poland,1977,40.0,1.6,1.5
Poland,1978,61.9,1.9,1.2
Poland,1979,68.42,1.9,0.5
Poland,1980,44.83,1.7,0.9
Poland,1981,51.61,1.9,1.2
Poland,1982,68.75,2.4,1.2
Poland,1983,33.33,1.7,1.3
Poland,1984,36.84,1.2,0.9
Poland,1985,39.29,1.1,1.0
Poland,1986,31.82,1.0,1.3
Poland,1987,44.44,1.5,1.4
Poland,1988,55.0,1.8,1.4
Poland,1989,47.62,1.4,1.3
Poland,1990,39.29,1.2,1.1
Poland,1991,30.0,1.2,1.3
Poland,1992,32.0,1.1,1.4
Poland,1993,32.0,1.0,1.2
Poland,1994,32.0,1.1,1.1
Poland,1995,38.89,1.4,1.2
Poland,1996,23.53,1.1,1.6
Poland,1997,33.33,1.2,1.6
Poland,1998,54.17,1.7,1.4
Poland,1999,52.17,1.3,1.2
Poland,2000,34.78,0.9,1.0
Poland,2001,38.1,1.4,1.0
Poland,2002,47.62,1.6,1.0
Poland,2003,60.0,1.8,1.0
Poland,2004,57.14,1.9,1.1
Poland,2005,62.96,2.1,1.1
Poland,2006,64.29,2.0,1.1
Poland,2007,48.15,1.7,1.0
Poland,2008,44.83,1.5,1.0
Poland,2009,37.93,1.3,1.0
Poland,2010,30.77,1.6,1.3
Poland,2011,38.46,1.4,1.3
Poland,2012,44.44,1.2,0.9
Poland,2013,40.74,1.5,1.0
Poland,2014,50.0,2.0,0.9
Poland,2015,61.11,2.6,0.8
Poland,2016,52.17,2.0,0.9
Poland,2017,54.55,1.8,0.9
Poland,2018,38.89,1.8,1.3
Poland,2019,50.0,1.6,0.9
Poland,2020,66.67,1.7,0.7
Poland,2021,43.48,2.2,1.2
Poland,2022,38.1,2.1,1.5
Hungary,1930,38.46,2.2,2.3
Hungary,1931,37.5,2.4,2.1
Hungary,1932,35.29,2.1,2.1
Hungary,1933,35.29,1.6,1.9
Hungary,1934,44.44,2.1,1.8
Hungary,1935,47.06,2.8,2.4
Hungary,1936,50.0,2.9,2.8
Hungary,1937,56.25,2.9,2.3
Hungary,1938,53.85,3.2,1.6
Hungary,1939,33.33,2.7,2.1
Hungary,1940,29.41,1.8,1.5
Hungary,1941,36.36,1.4,1.4
Hungary,1942,33.33,1.7,2.5
Hungary,1943,62.5,2.8,2.2
Hungary,1944,80.0,3.0,2.4
Hungary,1945,100.0,4.7,1.3
Hungary,1946,83.33,4.2,1.5
Hungary,1947,70.0,3.9,1.6
Hungary,1948,68.75,3.8,1.5
Hungary,1949,64.71,3.9,1.6
Hungary,1950,64.29,4.5,1.8
Hungary,1951,77.78,5.1,1.3
Hungary,1952,80.0,4.3,0.8
Hungary,1953,66.67,3.5,1.3
Hungary,1954,76.47,3.4,1.1
Hungary,1955,85.71,4.0,1.1
Hungary,1956,69.57,3.5,1.6
Hungary,1957,52.63,2.2,1.4
Hungary,1958,53.33,2.1,1.2
Hungary,1959,66.67,2.7,1.3
Hungary,1960,64.29,2.7,1.1
Hungary,1961,50.0,2.1,1.4
Hungary,1962,60.0,2.0,1.3
Hungary,1963,52.94,1.9,1.2
Hungary,1964,47.06,1.9,1.3
Hungary,1965,60.0,1.9,1.3
Hungary,1966,57.14,2.3,1.4
Hungary,1967,70.59,2.3,1.1
Hungary,1968,75.0,1.8,1.1
Hungary,1969,50.0,2.1,1.6
Hungary,1970,47.06,2.0,1.5
Hungary,1971,60.0,1.7,0.9
Hungary,1972,44.44,1.4,0.9
Hungary,1973,12.5,1.2,1.4
Hungary,1974,28.57,1.4,1.7
Hungary,1975,43.75,1.7,1.6
Hungary,1976,47.37,1.7,1.0
Hungary,1977,57.69,1.9,1.0
Hungary,1978,52.38,1.9,1.5
Hungary,1979,35.71,1.4,1.5
Hungary,1980,38.89,1.6,1.4
Hungary,1981,47.37,1.7,1.3
Hungary,1982,53.33,1.9,1.1
Hungary,1983,38.89,1.8,1.5
Hungary,1984,43.48,1.8,1.3
Hungary,1985,63.16,1.8,0.7
Hungary,1986,61.54,1.5,0.5
Hungary,1987,42.86,1.4,0.9
Hungary,1988,40.0,1.2,1.2
Hungary,1989,30.0,1.0,1.4
Hungary,1990,36.84,1.4,1.4
Hungary,1991,37.5,1.5,1.4
Hungary,1992,36.0,1.4,1.2
Hungary,1993,40.0,1.2,1.2
Hungary,1994,14.29,0.9,2.1
Hungary,1995,15.0,1.0,2.2
Hungary,1996,37.5,1.0,1.7
Hungary,1997,31.58,1.2,1.9
Hungary,1998,45.0,1.6,1.4
Hungary,1999,42.11,1.4,0.8
Hungary,2000,31.58,1.4,1.0
Hungary,2001,30.0,1.5,1.4
Hungary,2002,23.81,1.3,1.5
Hungary,2003,30.0,1.5,1.4
Hungary,2004,47.83,1.8,1.3
Hungary,2005,42.31,1.5,1.3
Hungary,2006,33.33,1.2,1.3
Hungary,2007,47.62,1.2,1.5
Hungary,2008,43.48,1.2,1.3
Hungary,2009,36.84,1.1,1.1
Hungary,2010,38.89,1.3,1.5
Hungary,2011,55.0,2.0,1.4
Hungary,2012,55.0,1.8,1.1
Hungary,2013,38.89,1.6,1.5
Hungary,2014,38.89,1.4,1.4
Hungary,2015,50.0,1.4,0.9
Hungary,2016,40.0,1.4,1.0
Hungary,2017,30.0,1.2,1.5
Hungary,2018,31.58,1.1,1.5
Hungary,2019,35.0,1.2,1.4
Hungary,2020,50.0,1.2,1.2
Hungary,2021,47.83,1.5,1.1
Hungary,2022,42.86,1.5,1.1
Portugal,1930,28.57,0.7,2.3
Portugal,1931,50.0,1.2,1.2
Portugal,1932,66.67,2.0,2.0
Portugal,1933,66.67,1.3,1.7
Portugal,1934,25.0,0.5,3.5
Portugal,1935,0.0,1.3,4.7
Portugal,1936,0.0,2.0,3.0
Portugal,1937,33.33,1.7,2.3
Portugal,1938,50.0,1.5,0.8
Portugal,1939,33.33,1.5,1.3
Portugal,1940,0.0,2.0,3.5
Portugal,1941,0.0,1.7,3.3
Portugal,1942,33.33,2.0,2.3
Portugal,1943,100.0,3.0,0.0
Portugal,1945,0.0,1.3,2.3
Portugal,1946,40.0,1.8,1.8
Portugal,1947,50.0,1.9,2.5
Portugal,1948,37.5,1.5,2.5
Portugal,1949,33.33,1.2,1.7
Portugal,1950,12.5,1.6,2.8
Portugal,1951,0.0,1.6,3.2
Portugal,1952,0.0,1.0,2.7
Portugal,1953,16.67,1.0,2.8
Portugal,1954,16.67,0.8,2.7
Portugal,1955,25.0,1.4,2.4
Portugal,1956,44.44,2.0,2.0
Portugal,1957,30.0,1.3,1.7
Portugal,1958,12.5,0.8,1.9
Portugal,1959,37.5,1.6,2.0
Portugal,1960,44.44,1.8,2.3
Portugal,1961,25.0,1.6,2.1
Portugal,1962,20.0,1.5,1.8
Portugal,1963,28.57,1.0,1.4
Portugal,1964,44.44,1.4,1.8
Portugal,1965,50.0,1.5,1.4
Portugal,1966,69.23,1.7,0.5
Portugal,1967,58.33,1.6,0.7
Portugal,1968,33.33,1.2,1.2
Portugal,1969,11.11,0.9,1.4
Portugal,1970,12.5,0.6,1.1
Portugal,1971,42.86,1.6,1.1
Portugal,1972,66.67,2.1,0.7
Portugal,1973,60.0,1.9,0.8
Portugal,1974,12.5,0.9,1.2
Portugal,1975,27.27,0.7,1.2
Portugal,1976,46.15,1.1,1.3
Portugal,1977,66.67,1.8,1.1
Portugal,1978,66.67,1.7,0.8
Portugal,1979,50.0,1.1,1.0
Portugal,1980,36.36,1.2,1.3
Portugal,1981,33.33,1.2,1.7
Portugal,1982,40.0,1.3,1.8
Portugal,1983,50.0,1.2,1.6
Portugal,1984,47.06,1.2,1.4
Portugal,1985,43.75,1.4,1.4
Portugal,1986,33.33,1.3,1.4
Portugal,1987,30.77,0.9,1.0
Portugal,1988,40.0,0.7,0.7
Portugal,1989,46.15,1.5,1.0
Portugal,1990,46.67,1.4,0.9
Portugal,1991,46.15,1.2,0.6
Portugal,1992,35.29,1.1,0.7
Portugal,1993,44.44,1.3,0.6
Portugal,1994,62.5,2.2,0.6
Portugal,1995,53.33,2.3,0.7
Portugal,1996,47.62,1.5,0.6
Portugal,1997,47.37,1.1,0.5
Portugal,1998,53.85,1.3,0.8
Portugal,1999,71.43,2.8,0.5
Portugal,2000,72.73,2.6,0.6
